title,year,dnaSource,dnaConfidence,surrealism,loneliness,chaos,romance,nostalgia,intensity,pacing,visualExtremity,narrativeComplexity,darkness,humor,dreamLogic
An Autumn Afternoon,1962,provisional-v3-compatible,0.38,36,48,40,35,59,51,45,31,48,43,43,50
An Elephant Sitting Still,2018,provisional-v3-compatible,0.38,59,65,49,58,50,49,25,55,74,53,41,57
Anatomy of a Murder,1959,provisional-v3-compatible,0.38,40,51,34,40,65,44,36,37,54,68,56,59
Andrei Rublev,1966,provisional-v3-compatible,0.38,54,47,52,37,50,36,39,31,55,50,61,41
Aparajito,1956,provisional-v3-compatible,0.38,57,41,41,50,75,60,27,54,61,34,61,36
Apocalypse Now,1979,provisional-v3-compatible,0.38,61,65,51,42,51,65,53,42,42,81,42,35
Apur Sansar,1959,provisional-v3-compatible,0.38,54,52,61,53,53,56,38,48,58,40,36,51
Army of Shadows,1969,provisional-v3-compatible,0.38,41,66,52,34,69,57,28,38,51,60,21,41
Arrival,2016,provisional-v3-compatible,0.38,50,61,51,51,39,44,45,70,47,44,50,46
Au Revoir les Enfants,1987,provisional-v3-compatible,0.38,54,54,47,61,52,53,51,53,55,44,35,48
Autumn Sonata,1978,provisional-v3-compatible,0.38,59,59,49,58,65,61,36,54,46,35,35,35
Azur & Asmar: The Princes' Quest,2006,provisional-v3-compatible,0.38,52,47,35,44,64,40,55,58,36,52,41,55
Back to the Future,1985,provisional-v3-compatible,0.38,56,56,36,61,53,41,42,54,57,28,88,61
Barry Lyndon,1975,provisional-v3-compatible,0.38,36,56,41,50,50,59,36,57,37,47,36,38
Before Sunrise,1995,provisional-v3-compatible,0.38,58,59,41,87,60,56,61,54,40,31,35,49
Before Sunset,2004,provisional-v3-compatible,0.38,55,51,42,75,70,45,37,37,37,44,39,50
Better Days,2019,provisional-v3-compatible,0.38,35,36,50,60,49,55,54,52,57,46,54,52
Bicycle Thieves,1948,provisional-v3-compatible,0.38,48,44,48,55,76,36,23,55,58,51,53,37
Big World,2024,provisional-v3-compatible,0.38,53,39,48,57,52,53,63,48,56,37,41,54
Billy Elliot,2000,provisional-v3-compatible,0.38,48,35,48,44,41,50,51,54,54,42,57,51
Black Swan,2010,curated-starter-v1,0.95,79,90,72,24,22,96,79,85,84,93,3,83
Blue Giant,2023,provisional-v3-compatible,0.38,47,63,36,45,48,56,51,88,41,50,50,71
Boogie Nights,1997,provisional-v3-compatible,0.38,60,53,41,49,62,47,39,61,44,48,54,58
Brief Encounter,1945,provisional-v3-compatible,0.38,48,63,43,85,84,61,38,49,45,43,35,38
Brokeback Mountain,2005,provisional-v3-compatible,0.38,45,51,54,72,70,38,45,39,52,48,49,56
Butch Cassidy and the Sundance Kid,1969,provisional-v3-compatible,0.38,50,53,57,61,65,51,27,53,45,53,57,42
Cabaret,1972,provisional-v3-compatible,0.38,42,44,48,34,64,53,34,39,61,38,40,57
Capernaum,2018,provisional-v3-compatible,0.38,36,43,47,39,54,46,48,52,49,59,39,40
Carandiru,2003,provisional-v3-compatible,0.38,36,56,61,54,50,54,54,46,44,54,61,58
Casablanca,1942,provisional-v3-compatible,0.38,55,63,42,87,63,45,39,53,56,33,35,48
Casino,1995,provisional-v3-compatible,0.38,60,51,47,33,46,60,48,56,47,76,62,38
Central Station,1998,provisional-v3-compatible,0.38,43,60,37,54,44,46,41,62,38,50,59,45
Chainsaw Man – The Movie: Reze Arc,2025,provisional-v3-compatible,0.38,62,46,39,53,54,48,51,72,54,32,45,52
Children of Heaven,1997,provisional-v3-compatible,0.38,57,49,51,51,62,35,53,51,41,51,50,48
Children of Men,2006,provisional-v3-compatible,0.38,46,59,46,52,64,62,57,43,35,46,53,38
Children of Paradise,1945,provisional-v3-compatible,0.38,52,39,38,61,86,59,44,44,52,46,48,40
Chinatown,1974,provisional-v3-compatible,0.38,35,45,56,43,74,57,57,53,70,64,55,59
Chungking Express,1994,curated-starter-v1,0.95,44,88,52,84,91,48,71,82,56,34,66,54
Cinema Paradiso,1988,provisional-v3-compatible,0.38,47,61,38,36,72,61,48,43,43,37,34,53
Citizen Kane,1941,provisional-v3-compatible,0.38,50,36,49,51,62,35,29,57,45,55,34,40
City Lights,1931,provisional-v3-compatible,0.38,58,63,46,49,67,41,26,34,54,51,45,42
City of God,2002,provisional-v3-compatible,0.38,43,61,51,30,47,73,59,41,65,79,45,45
Close,2022,provisional-v3-compatible,0.38,46,48,36,60,55,62,52,44,53,44,47,56
Close-Up,1990,provisional-v3-compatible,0.38,37,39,37,54,48,51,51,37,57,38,36,44
Cléo from 5 to 7,1962,provisional-v3-compatible,0.38,42,55,39,46,55,42,48,49,51,59,51,41
Come and See,1985,provisional-v3-compatible,0.38,59,51,53,44,72,74,35,39,47,61,21,55
"Comrades, Almost a Love Story",1996,provisional-v3-compatible,0.38,51,60,61,92,77,58,44,48,61,30,60,61
Cool Hand Luke,1967,provisional-v3-compatible,0.38,57,37,55,53,56,44,25,43,50,43,62,60
Coraline,2009,provisional-v3-compatible,0.38,61,35,57,30,53,65,48,68,52,82,25,66
Cowboy Bebop: The Movie,2001,provisional-v3-compatible,0.38,49,48,37,35,56,35,58,63,57,44,58,54
Cria!,1976,provisional-v3-compatible,0.38,46,52,36,53,52,41,46,54,39,48,53,58
Cries and Whispers,1972,provisional-v3-compatible,0.38,59,37,51,62,71,43,44,43,42,45,47,45
Cure,1997,curated-starter-v1,0.95,71,96,45,6,54,78,31,67,91,100,2,81
Céline and Julie Go Boating,1974,provisional-v3-compatible,0.38,63,47,46,55,67,51,34,53,72,35,56,72
Dancer in the Dark,2000,provisional-v3-compatible,0.38,34,41,48,50,53,59,35,37,58,59,41,51
Das Boot,1981,provisional-v3-compatible,0.38,35,59,50,49,68,35,35,47,43,50,39,44
Day for Night,1973,provisional-v3-compatible,0.38,47,45,51,50,77,44,37,51,40,48,35,51
Dead Poets Society,1989,provisional-v3-compatible,0.38,46,55,51,35,74,52,49,41,47,39,37,53
Dersu Uzala,1975,provisional-v3-compatible,0.38,48,51,44,53,56,35,49,51,55,48,35,41
Diabolique,1955,provisional-v3-compatible,0.38,55,38,57,26,72,74,51,34,48,72,17,45
Dial M for Murder,1954,provisional-v3-compatible,0.38,52,56,58,41,71,53,43,34,53,72,52,47
Django Unchained,2012,provisional-v3-compatible,0.38,47,36,40,44,49,43,45,60,44,55,49,49
Do the Right Thing,1989,provisional-v3-compatible,0.38,47,41,52,37,58,44,50,36,52,41,40,38
Dog Day Afternoon,1975,provisional-v3-compatible,0.38,44,34,54,54,67,41,45,61,52,53,52,37
Dogville,2003,provisional-v3-compatible,0.38,52,60,49,60,51,57,39,40,51,59,45,42
Double Indemnity,1944,provisional-v3-compatible,0.38,57,51,38,27,71,55,29,36,65,60,42,34
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,provisional-v3-compatible,0.38,50,44,48,77,70,35,44,50,56,44,37,62
Dreams,1990,provisional-v3-compatible,0.38,92,36,60,56,61,37,38,63,72,52,46,88
Drive My Car,2021,provisional-v3-compatible,0.38,47,60,51,50,58,49,20,51,62,34,56,49
Dune: Part Two,2024,provisional-v3-compatible,0.38,43,35,59,42,40,75,76,70,44,43,55,52
Eat Drink Man Woman,1994,provisional-v3-compatible,0.38,42,59,53,51,40,35,35,41,50,59,38,52
Embrace of the Serpent,2015,provisional-v3-compatible,0.38,57,35,45,54,54,60,62,42,56,39,46,62
Ernest & Celestine,2012,provisional-v3-compatible,0.38,60,61,38,44,54,48,43,59,39,37,56,57
Eternal Sunshine of the Spotless Mind,2004,provisional-v3-compatible,0.38,54,49,61,79,67,38,50,51,61,55,46,48
Eternity and a Day,1998,provisional-v3-compatible,0.38,49,52,61,46,66,37,48,59,47,59,51,53
Evangelion: 3.0+1.0 Thrice Upon a Time,2021,provisional-v3-compatible,0.38,63,60,56,35,41,59,63,82,55,40,48,63
Everything Everywhere All at Once,2022,provisional-v3-compatible,0.38,81,50,36,52,45,65,51,60,54,58,43,78
Fail Safe,1964,provisional-v3-compatible,0.38,35,57,49,36,66,53,37,36,65,53,52,36
Fallen Angels,1995,curated-starter-v1,0.95,62,94,73,68,84,66,72,91,68,73,31,70
Falling in Love Like in Movies,2023,provisional-v3-compatible,0.38,46,42,38,55,49,57,54,66,40,36,35,61
Fanny and Alexander,1982,provisional-v3-compatible,0.38,56,49,42,57,54,62,47,41,54,37,57,34
Fantastic Mr. Fox,2009,provisional-v3-compatible,0.38,69,44,59,47,42,51,60,74,40,14,73,70
Farewell My Concubine,1993,provisional-v3-compatible,0.38,58,46,50,53,67,35,54,50,37,42,42,38
Fight Club,1999,provisional-v3-compatible,0.38,39,38,59,40,65,46,51,53,48,41,58,61
Fireworks,1997,provisional-v3-compatible,0.38,56,55,35,51,60,43,50,48,53,56,39,38
For a Few Dollars More,1965,provisional-v3-compatible,0.38,61,39,43,51,72,40,46,52,54,57,51,57
Forrest Gump,1994,provisional-v3-compatible,0.38,39,48,42,36,50,47,53,53,45,54,38,39
Full Metal Jacket,1987,provisional-v3-compatible,0.38,54,68,58,25,47,64,31,52,35,64,39,50
Funeral Parade of Roses,1969,provisional-v3-compatible,0.38,73,54,55,53,58,52,39,51,65,47,52,79
Gangs of Wasseypur – Part 2,2012,provisional-v3-compatible,0.38,56,39,61,38,47,50,45,45,54,39,60,49
Gladiator,2000,provisional-v3-compatible,0.38,40,47,70,49,41,71,60,54,37,48,55,50
Good Morning,1959,provisional-v3-compatible,0.38,40,55,34,36,56,56,35,45,43,54,47,37
Good Will Hunting,1997,provisional-v3-compatible,0.38,56,36,55,50,49,56,59,56,49,57,40,60
GoodFellas,1990,provisional-v3-compatible,0.38,58,34,40,26,65,73,36,42,71,63,40,59
Grand Illusion,1937,provisional-v3-compatible,0.38,54,59,59,45,58,70,43,36,64,74,23,40
Grave of the Fireflies,1988,provisional-v3-compatible,0.38,48,34,58,36,55,36,40,69,53,32,38,64
Güeros,2014,provisional-v3-compatible,0.38,55,54,60,50,50,51,54,49,55,42,47,55
HAIKYU!! The Dumpster Battle,2024,provisional-v3-compatible,0.38,49,46,67,43,46,80,45,83,55,58,34,51
Hamnet,2025,provisional-v3-compatible,0.38,59,57,37,51,60,56,61,55,38,39,62,47
Happy Together,1997,provisional-v3-compatible,0.38,35,61,53,82,68,50,50,44,57,51,50,41
Harakiri,1962,provisional-v3-compatible,0.38,54,38,51,60,63,53,43,38,66,36,35,44
Hard Boiled,1992,provisional-v3-compatible,0.38,44,51,54,44,58,83,65,52,44,39,52,59
Harry Potter and the Prisoner of Azkaban,2004,provisional-v3-compatible,0.38,49,58,52,61,47,59,39,47,61,53,51,59
Heat,1995,provisional-v3-compatible,0.38,46,39,52,45,68,57,52,56,63,65,38,52
High and Low,1963,provisional-v3-compatible,0.38,45,35,39,45,63,44,37,43,68,62,40,35
Hiroshima Mon Amour,1959,provisional-v3-compatible,0.38,60,51,61,59,53,57,34,50,55,46,52,39
Hope,2013,provisional-v3-compatible,0.38,62,52,49,56,53,42,38,49,52,58,49,50
How to Make Millions Before Grandma Dies,2024,provisional-v3-compatible,0.38,54,57,37,60,52,60,49,57,54,52,42,45
How to Train Your Dragon,2010,provisional-v3-compatible,0.38,50,61,48,40,47,35,52,70,49,52,61,72
Howl's Moving Castle,2004,provisional-v3-compatible,0.38,46,55,48,60,64,34,40,67,53,39,62,57
Hundreds of Beavers,2022,provisional-v3-compatible,0.38,57,55,38,63,47,40,45,53,56,33,87,53
I Am Cuba,1964,provisional-v3-compatible,0.38,58,55,44,55,62,41,38,47,64,40,61,59
I Dream in Another Language,2017,provisional-v3-compatible,0.38,60,42,55,39,59,41,54,68,39,43,57,64
I Swear,2025,provisional-v3-compatible,0.38,48,42,35,41,50,64,65,55,43,38,61,48
I'm Still Here,2024,provisional-v3-compatible,0.38,35,35,35,50,57,60,65,46,60,51,38,40
Ikiru,1952,provisional-v3-compatible,0.38,48,51,41,55,52,36,39,42,67,61,60,38
Il Sorpasso,1962,provisional-v3-compatible,0.38,56,53,58,62,57,46,40,54,56,42,55,53
In a Lonely Place,1950,provisional-v3-compatible,0.38,52,36,40,50,58,42,39,37,51,34,48,44
In the Mood for Love,2000,provisional-v3-compatible,0.38,54,55,37,93,65,46,56,41,50,42,35,46
In the Name of the Father,1993,provisional-v3-compatible,0.38,39,61,62,57,47,38,49,43,45,51,47,35
Incendies,2010,provisional-v3-compatible,0.38,58,37,58,52,63,59,57,59,48,56,56,46
Inception,2010,provisional-v3-compatible,0.38,51,40,34,37,62,35,57,37,60,37,57,49
Inglourious Basterds,2009,provisional-v3-compatible,0.38,55,61,52,56,64,42,51,60,51,54,35,34
Interstella 5555: The 5tory of the 5ecret 5tar 5ystem,2003,provisional-v3-compatible,0.38,43,38,40,36,63,37,48,60,54,41,53,47
Interstellar,2014,provisional-v3-compatible,0.38,40,56,49,46,47,38,56,42,57,57,40,48
Investigation of a Citizen Above Suspicion,1970,provisional-v3-compatible,0.38,61,42,48,60,53,44,41,52,52,47,57,61
It Happened One Night,1934,provisional-v3-compatible,0.38,40,61,41,59,72,36,26,34,40,38,88,45
It's a Wonderful Life,1946,provisional-v3-compatible,0.38,53,53,43,51,75,38,46,52,60,45,59,54
It's Such a Beautiful Day,2012,provisional-v3-compatible,0.38,43,35,56,40,60,55,34,54,44,60,59,34
Ivan's Childhood,1962,provisional-v3-compatible,0.38,53,42,53,55,72,38,45,47,57,57,55,61
"Jeanne Dielman, 23, quai du Commerce, 1080 Bruxelles",1975,provisional-v3-compatible,0.38,59,57,46,61,72,34,8,53,57,56,40,53
Joint Security Area,2000,provisional-v3-compatible,0.38,51,58,60,60,59,47,43,42,44,57,44,47
Joyland,2022,provisional-v3-compatible,0.38,39,55,37,35,47,47,49,47,53,51,37,43
Judgment at Nuremberg,1961,provisional-v3-compatible,0.38,59,72,49,23,59,57,33,45,59,84,39,46
Kagemusha,1980,provisional-v3-compatible,0.38,52,60,39,52,53,39,42,62,42,38,50,46
Kamikaze Girls,2004,provisional-v3-compatible,0.38,58,54,44,49,38,51,49,58,50,17,92,34
Kes,1969,provisional-v3-compatible,0.38,45,44,59,40,48,39,51,48,63,57,54,47
Kiki's Delivery Service,1989,provisional-v3-compatible,0.38,65,34,50,39,50,54,30,67,35,35,34,57
Kill Bill: Vol. 1,2003,provisional-v3-compatible,0.38,59,61,62,53,60,80,85,73,44,67,57,46
Kizumonogatari Part 3: Reiketsu,2017,provisional-v3-compatible,0.38,47,42,44,37,36,42,67,75,46,41,44,49
Klaus,2019,provisional-v3-compatible,0.38,56,62,43,46,50,44,53,86,34,36,40,57
Kumbalangi Nights,2019,provisional-v3-compatible,0.38,52,55,40,60,36,47,55,49,54,71,42,42
Kwaidan,1964,provisional-v3-compatible,0.38,60,39,56,31,61,54,48,44,45,77,33,57
La Dolce Vita,1960,provisional-v3-compatible,0.38,47,38,48,56,62,45,49,58,53,44,41,51
La Haine,1995,provisional-v3-compatible,0.38,36,57,52,49,47,38,43,45,43,52,46,52
La Notte,1961,provisional-v3-compatible,0.38,58,58,54,45,54,37,46,35,66,46,35,59
La Strada,1954,provisional-v3-compatible,0.38,48,55,52,46,70,56,44,48,58,50,54,47
Landscape in the Mist,1988,provisional-v3-compatible,0.38,35,40,55,45,68,56,32,36,61,52,46,59
Late Spring,1949,provisional-v3-compatible,0.38,49,57,39,37,75,34,6,41,65,47,37,47
Lawrence of Arabia,1962,provisional-v3-compatible,0.38,48,49,55,47,59,36,27,33,51,47,46,57
Le Bonheur,1965,provisional-v3-compatible,0.38,37,36,36,50,63,49,48,41,50,50,50,57
Le Cercle Rouge,1970,provisional-v3-compatible,0.38,62,47,39,43,58,61,45,39,71,66,34,46
Le Samouraï,1967,provisional-v3-compatible,0.38,40,54,44,29,67,53,34,54,62,63,49,47
Le Trou,1960,provisional-v3-compatible,0.38,52,41,57,49,48,34,31,44,59,34,45,41
Life Is Beautiful,1997,provisional-v3-compatible,0.38,37,60,50,45,48,47,42,60,58,61,50,55
"Life, and Nothing More…",1992,provisional-v3-compatible,0.38,57,46,37,46,54,40,50,47,45,43,53,60
"Like Father, Like Son",2013,provisional-v3-compatible,0.38,56,34,35,50,46,60,51,48,55,37,34,35
Lilya 4-ever,2002,provisional-v3-compatible,0.38,42,36,39,54,55,52,55,53,52,38,44,48
Linda Linda Linda,2005,provisional-v3-compatible,0.38,47,56,51,34,40,51,55,57,46,46,37,59
Little Miss Sunshine,2006,provisional-v3-compatible,0.38,40,38,40,59,47,41,41,57,36,36,82,40
Little Women,2019,provisional-v3-compatible,0.38,58,48,40,44,57,62,59,69,35,58,53,49
Look Back,2024,provisional-v3-compatible,0.38,57,38,37,50,58,48,39,79,46,54,49,60
Love Exposure,2008,curated-starter-v1,0.95,72,63,96,79,38,94,88,86,88,73,76,68
Love Letter,1995,provisional-v3-compatible,0.38,53,67,44,91,62,55,35,34,45,41,47,36
Love Streams,1984,provisional-v3-compatible,0.38,52,54,59,71,66,41,47,52,48,45,43,43
M,1931,provisional-v3-compatible,0.38,50,49,41,46,77,50,44,43,66,35,61,40
Macario,1960,provisional-v3-compatible,0.38,58,48,47,40,60,35,41,38,64,48,40,39
Mad Max: Fury Road,2015,provisional-v3-compatible,0.38,57,47,76,58,56,86,74,84,46,50,53,47
Magnolia,1999,provisional-v3-compatible,0.38,44,51,38,57,40,56,40,53,46,55,43,60
Malcolm X,1992,provisional-v3-compatible,0.38,60,39,61,44,68,57,50,44,42,60,41,45
Manila in the Claws of Light,1975,provisional-v3-compatible,0.38,56,43,55,58,54,36,56,54,56,46,47,50
Marcel the Shell with Shoes On,2021,provisional-v3-compatible,0.38,35,47,43,42,37,52,43,52,46,42,39,49
Mary and Max,2009,provisional-v3-compatible,0.38,54,57,35,50,47,54,50,63,62,57,48,58
Meiyazhagan,2024,provisional-v3-compatible,0.38,50,58,38,41,49,40,55,49,38,41,61,40
Memento,2000,provisional-v3-compatible,0.38,38,50,42,39,54,44,56,49,42,40,36,59
Memoir of a Snail,2024,provisional-v3-compatible,0.38,63,61,55,37,57,63,62,90,49,52,35,54
Memories of Murder,2003,provisional-v3-compatible,0.38,45,56,47,43,58,58,48,43,68,73,46,43
Metropolis,1927,provisional-v3-compatible,0.38,50,60,56,35,78,37,34,52,51,45,51,45
Midnight Cowboy,1969,provisional-v3-compatible,0.38,50,48,53,54,58,49,30,38,66,70,58,44
Millennium Actress,2001,provisional-v3-compatible,0.38,96,34,58,56,59,37,50,69,58,44,45,87
Mind Game,2004,curated-starter-v1,0.95,100,51,100,64,41,94,100,100,86,49,91,100
Mirror,1975,provisional-v3-compatible,0.38,76,64,58,49,53,37,6,61,87,41,55,100
Mishima: A Life in Four Chapters,1985,provisional-v3-compatible,0.38,41,47,51,54,49,43,53,43,37,45,51,55
Modern Times,1936,provisional-v3-compatible,0.38,53,51,55,47,58,31,40,46,59,27,77,56
Mommy,2014,provisional-v3-compatible,0.38,43,56,43,54,43,61,48,44,40,58,48,58
Monster,2023,provisional-v3-compatible,0.38,38,34,50,47,40,60,63,66,39,50,49,46
Monty Python and the Holy Grail,1975,provisional-v3-compatible,0.38,51,56,47,46,49,50,40,56,52,37,81,49
Moonlight,2016,provisional-v3-compatible,0.38,49,48,52,43,62,46,45,57,35,50,48,59
Mother,2009,provisional-v3-compatible,0.38,45,55,41,60,44,42,54,53,61,44,47,53
Mr. Smith Goes to Washington,1939,provisional-v3-compatible,0.38,36,37,49,52,53,53,45,49,63,48,57,51
Mulan,1998,provisional-v3-compatible,0.38,70,56,36,50,44,57,53,62,43,58,54,60
Mulholland Drive,2001,curated-starter-v1,0.95,96,86,66,54,58,72,43,77,100,84,18,100
Mustang,2015,provisional-v3-compatible,0.38,55,50,34,56,45,43,47,68,55,41,36,39
My Father's Shadow,2025,provisional-v3-compatible,0.38,34,61,48,34,40,57,64,65,42,39,61,42
My Life as a Zucchini,2016,provisional-v3-compatible,0.38,46,59,58,55,49,55,49,86,41,51,39,57
My Neighbor Totoro,1988,provisional-v3-compatible,0.38,50,48,59,61,49,48,56,70,58,51,53,51
My Night at Maud's,1969,provisional-v3-compatible,0.38,47,43,58,37,66,49,36,33,53,65,61,36
Mysterious Skin,2004,provisional-v3-compatible,0.38,47,51,60,46,42,36,38,51,46,58,45,49
Nashville,1975,provisional-v3-compatible,0.38,48,37,36,50,62,52,40,39,40,54,56,49
Nausicaä of the Valley of the Wind,1984,provisional-v3-compatible,0.38,69,47,62,57,59,36,31,66,41,31,44,64
Neon Genesis Evangelion: The End of Evangelion,1997,provisional-v3-compatible,0.38,56,44,45,39,48,55,39,59,47,40,34,61
Network,1976,provisional-v3-compatible,0.38,43,37,56,55,72,56,56,35,52,51,36,62
"Night Is Short, Walk On Girl",2017,provisional-v3-compatible,0.38,88,48,52,59,47,45,49,75,58,49,60,84
Nights of Cabiria,1957,provisional-v3-compatible,0.38,45,63,43,36,70,38,46,41,58,50,50,51
Nine Queens,2000,provisional-v3-compatible,0.38,61,47,45,41,43,75,61,47,53,63,44,55
Nirvanna the Band the Show the Movie,2025,provisional-v3-compatible,0.38,47,60,50,60,49,57,50,60,35,36,54,49
No Country for Old Men,2007,provisional-v3-compatible,0.38,50,44,49,37,46,44,40,52,35,42,35,47
Nobody Knows,2004,provisional-v3-compatible,0.38,40,60,61,62,51,38,58,60,50,47,56,39
North by Northwest,1959,provisional-v3-compatible,0.38,55,57,36,58,62,43,40,39,57,37,54,44
Nostalgia,1983,provisional-v3-compatible,0.38,45,50,35,34,53,29,8,39,51,36,39,55
Oldboy,2003,curated-starter-v1,0.95,54,83,74,36,32,98,82,90,91,100,19,49
On the Waterfront,1954,provisional-v3-compatible,0.38,57,35,35,48,51,42,50,42,47,53,58,50
Once Upon a Time in America,1984,provisional-v3-compatible,0.38,36,42,41,39,66,48,55,61,51,59,38,57
Once Upon a Time in the West,1968,provisional-v3-compatible,0.38,48,53,57,57,57,36,47,40,62,52,39,53
One Flew Over the Cuckoo's Nest,1975,provisional-v3-compatible,0.38,55,46,56,50,74,58,33,36,35,36,42,41
Opening Night,1977,provisional-v3-compatible,0.38,62,65,51,42,55,56,36,39,38,58,43,52
Oppenheimer,2023,provisional-v3-compatible,0.38,43,45,53,52,48,57,43,70,52,38,41,43
Ordet,1955,provisional-v3-compatible,0.38,42,62,50,59,75,28,10,49,73,39,41,61
Our Little Sister,2015,provisional-v3-compatible,0.38,38,50,50,53,53,39,40,48,55,42,40,39
Pan's Labyrinth,2006,provisional-v3-compatible,0.38,46,56,52,55,61,56,45,50,35,43,56,37
Paper Moon,1973,provisional-v3-compatible,0.38,41,45,50,48,61,54,40,40,34,43,47,59
Parasite,2019,provisional-v3-compatible,0.38,60,36,48,62,48,50,53,48,57,52,41,53
"Paris, Texas",1984,curated-starter-v1,0.95,25,100,10,71,96,49,15,76,61,55,8,27
Past Lives,2023,provisional-v3-compatible,0.38,42,47,58,65,52,48,53,63,56,47,40,42
Pather Panchali,1955,provisional-v3-compatible,0.38,47,45,45,52,58,62,48,59,60,56,50,39
Paths of Glory,1957,provisional-v3-compatible,0.38,62,72,43,45,61,72,38,42,50,85,16,52
Perfect Blue,1997,curated-starter-v1,0.95,88,82,79,12,35,91,83,80,93,88,8,94
Perfect Days,2023,provisional-v3-compatible,0.38,56,65,61,45,55,54,34,45,55,56,52,49
Persepolis,2007,provisional-v3-compatible,0.38,69,43,43,61,60,59,61,78,37,38,38,73
Persona,1966,provisional-v3-compatible,0.38,79,49,61,53,70,44,31,47,60,54,61,75
Phantom of the Paradise,1974,provisional-v3-compatible,0.38,41,46,44,51,64,59,34,61,61,55,61,56
Phantom Thread,2017,provisional-v3-compatible,0.38,46,36,38,60,45,53,66,47,61,39,57,57
