id,title,year,director,country,genres,tags,surrealism,loneliness,chaos,romance,nostalgia,intensity,pacing,visualExtremity,narrativeComplexity,darkness,humor,dreamLogic
21,"Blade Runner",1982,"Ridley Scott","United States","Sci-Fi|Drama|Thriller","cyberpunk|memory|identity|rain",55,91,49,52,87,69,42,94,82,91,9,57
22,"Climax",2018,"Gaspar Noé","France","Drama|Horror|Music","dance|LSD|party|panic",86,46,100,15,18,100,95,98,58,92,13,89
23,"Under the Skin",2013,"Jonathan Glazer","United Kingdom","Sci-Fi|Drama","alien|body|observation|void",91,99,38,18,20,62,22,92,85,90,2,94
24,"Donnie Darko",2001,"Richard Kelly","United States","Drama|Sci-Fi|Mystery","time|teenage|rabbit|suburbia",83,88,55,47,89,67,51,73,91,84,28,88
25,"Trainspotting",1996,"Danny Boyle","United Kingdom","Drama|Comedy","addiction|youth|Scotland|escape",53,62,86,24,82,89,96,84,59,79,79,48
26,"Oldboy",2003,"Park Chan-wook","South Korea","Thriller|Drama|Mystery","revenge|captivity|memory|violence",54,83,74,36,32,98,82,90,91,100,19,49
27,"Cure",1997,"Kiyoshi Kurosawa","Japan","Thriller|Horror|Mystery","hypnosis|murder|emptiness|identity",71,96,45,6,54,78,31,67,91,100,2,81
28,"Audition",1999,"Takashi Miike","Japan","Horror|Drama","dating|obsession|trauma|body horror",66,75,71,43,51,96,33,94,73,98,7,70
29,"Pulse",2001,"Kiyoshi Kurosawa","Japan","Horror|Mystery","internet|ghosts|isolation|apocalypse",86,100,43,8,68,69,26,76,82,100,0,91
30,"Gummo",1997,"Harmony Korine","United States","Drama","fragmented|suburbia|outsiders|decay",75,83,90,7,58,72,51,91,45,86,42,70
31,"The Doom Generation",1995,"Gregg Araki","United States","Comedy|Crime|Drama","road|youth|violence|queer cinema",63,56,93,68,90,88,89,88,55,75,76,61
32,"Paris, Texas",1984,"Wim Wenders","West Germany / France","Drama","desert|family|memory|distance",25,100,10,71,96,49,15,76,61,55,8,27
33,"The Lighthouse",2019,"Robert Eggers","United States","Drama|Fantasy|Horror","isolation|myth|madness|sea",91,96,89,3,49,94,47,94,86,100,44,92
34,"Black Swan",2010,"Darren Aronofsky","United States","Drama|Thriller","dance|perfection|double|body",79,90,72,24,22,96,79,85,84,93,3,83
35,"Mandy",2018,"Panos Cosmatos","United States / Belgium","Horror|Fantasy|Action","revenge|psychedelic|metal|cult",97,67,94,39,57,100,63,100,62,96,31,94
36,"The Handmaiden",2016,"Park Chan-wook","South Korea","Drama|Romance|Thriller","deception|desire|revenge|gothic",35,61,58,91,45,86,69,90,94,69,32,37
